(R, 1)[0] => [[1, 0], [0, 0]]
(D, 2)[0] => [[0, 3], [0, 4]]
(U, 1)[0] => [[0, 4], [0, 4]]
(R, 2)[0] => [[1, 4], [0, 4]]
(R, 2)[0] => [[2, 4], [1, 4]]
(L, 1)[0] => [[1, 4], [1, 4]]
(R, 1)[0] => [[2, 4], [1, 4]]
(L, 1)[0] => [[1, 4], [1, 4]]
(U, 2)[0] => [[1, 5], [1, 4]]
(U, 2)[0] => [[1, 6], [1, 5]]
(R, 2)[0] => [[2, 6], [1, 5]]
(R, 2)[0] => [[3, 6], [2, 6]]
(L, 2)[0] => [[2, 6], [2, 6]]
(L, 2)[0] => [[1, 6], [2, 6]]
(R, 1)[0] => [[2, 6], [2, 6]]
(D, 1)[0] => [[2, 5], [2, 6]]
(U, 1)[0] => [[2, 6], [2, 6]]
(R, 2)[0] => [[3, 6], [2, 6]]
(R, 2)[0] => [[4, 6], [3, 6]]
(D, 2)[0] => [[4, 5], [3, 6]]
(D, 2)[0] => [[4, 4], [4, 5]]
(U, 1)[0] => [[4, 5], [4, 5]]
(D, 2)[0] => [[4, 4], [4, 5]]
(D, 2)[0] => [[4, 3], [4, 4]]
(U, 2)[0] => [[4, 4], [4, 4]]
(U, 2)[0] => [[4, 5], [4, 4]]
(R, 2)[0] => [[5, 5], [4, 4]]
(R, 2)[0] => [[6, 5], [5, 5]]
(U, 1)[0] => [[6, 6], [5, 5]]
(D, 1)[0] => [[6, 5], [5, 5]]
(L, 1)[0] => [[5, 5], [5, 5]]
(D, 1)[0] => [[5, 4], [5, 5]]
(L, 1)[0] => [[4, 4], [5, 5]]
(U, 1)[0] => [[4, 5], [5, 5]]
(R, 1)[0] => [[5, 5], [5, 5]]
(L, 2)[0] => [[4, 5], [5, 5]]
(L, 2)[0] => [[3, 5], [4, 5]]
(R, 1)[0] => [[4, 5], [4, 5]]
(D, 2)[0] => [[4, 4], [4, 5]]
(D, 2)[0] => [[4, 3], [4, 4]]
(U, 1)[0] => [[4, 4], [4, 4]]
(L, 2)[0] => [[3, 4], [4, 4]]
(L, 2)[0] => [[2, 4], [3, 4]]
(U, 2)[0] => [[2, 5], [3, 4]]
(U, 2)[0] => [[2, 6], [2, 5]]
(D, 2)[0] => [[2, 5], [2, 5]]
(D, 2)[0] => [[2, 4], [2, 5]]
(L, 2)[0] => [[1, 4], [2, 5]]
(L, 2)[0] => [[0, 4], [1, 4]]
(R, 2)[0] => [[1, 4], [1, 4]]
(R, 2)[0] => [[2, 4], [1, 4]]
(L, 1)[0] => [[1, 4], [1, 4]]
(U, 2)[0] => [[1, 5], [1, 4]]
(U, 2)[0] => [[1, 6], [1, 5]]
(D, 1)[0] => [[1, 5], [1, 5]]
(R, 1)[0] => [[2, 5], [1, 5]]
(U, 2)[0] => [[2, 6], [1, 5]]
(U, 2)[0] => [[2, 7], [2, 6]]
(L, 1)[0] => [[1, 7], [2, 6]]
(D, 1)[0] => [[1, 6], [2, 6]]
(U, 1)[0] => [[1, 7], [2, 6]]
(L, 1)[0] => [[0, 7], [1, 7]]
(U, 1)[0] => [[0, 8], [1, 7]]
(D, 1)[0] => [[0, 7], [1, 7]]
(U, 2)[0] => [[0, 8], [1, 7]]
(U, 2)[0] => [[0, 9], [0, 8]]
(R, 1)[0] => [[1, 9], [0, 8]]
(D, 2)[0] => [[1, 8], [0, 8]]
(D, 2)[0] => [[1, 7], [0, 8]]
(L, 1)[0] => [[0, 7], [0, 8]]
(U, 2)[0] => [[0, 8], [0, 8]]
(U, 2)[0] => [[0, 9], [0, 8]]
(R, 1)[0] => [[1, 9], [0, 8]]
(D, 2)[0] => [[1, 8], [0, 8]]
(D, 2)[0] => [[1, 7], [0, 8]]
(R, 1)[0] => [[2, 7], [1, 7]]
(D, 1)[0] => [[2, 6], [1, 7]]
(L, 1)[0] => [[1, 6], [1, 7]]
(R, 1)[0] => [[2, 6], [1, 7]]
(L, 2)[0] => [[1, 6], [1, 7]]
(L, 2)[0] => [[0, 6], [1, 7]]
(D, 1)[0] => [[0, 5], [0, 6]]
(U, 1)[0] => [[0, 6], [0, 6]]
(L, 2)[0] => [[-1, 6], [0, 6]]
(L, 2)[0] => [[-2, 6], [-1, 6]]
(D, 2)[0] => [[-2, 5], [-1, 6]]
(D, 2)[0] => [[-2, 4], [-2, 5]]
(L, 1)[0] => [[-3, 4], [-2, 5]]
(D, 2)[0] => [[-3, 3], [-3, 4]]
(D, 2)[0] => [[-3, 2], [-3, 3]]
(L, 1)[0] => [[-4, 2], [-3, 3]]
(U, 2)[0] => [[-4, 3], [-3, 3]]
(U, 2)[0] => [[-4, 4], [-3, 3]]
(D, 1)[0] => [[-4, 3], [-3, 3]]
(R, 2)[0] => [[-3, 3], [-3, 3]]
(R, 2)[0] => [[-2, 3], [-3, 3]]
(L, 1)[0] => [[-3, 3], [-3, 3]]
(U, 1)[0] => [[-3, 4], [-3, 3]]
(D, 2)[0] => [[-3, 3], [-3, 3]]
(D, 2)[0] => [[-3, 2], [-3, 3]]
(L, 1)[0] => [[-4, 2], [-3, 3]]
(U, 2)[0] => [[-4, 3], [-3, 3]]
(U, 2)[0] => [[-4, 4], [-3, 3]]
(L, 2)[0] => [[-5, 4], [-4, 4]]
(L, 2)[0] => [[-6, 4], [-5, 4]]
(R, 2)[0] => [[-5, 4], [-5, 4]]
(R, 2)[0] => [[-4, 4], [-5, 4]]
(L, 1)[0] => [[-5, 4], [-5, 4]]
(R, 2)[0] => [[-4, 4], [-5, 4]]
(R, 2)[0] => [[-3, 4], [-4, 4]]
(L, 2)[0] => [[-4, 4], [-4, 4]]
(L, 2)[0] => [[-5, 4], [-4, 4]]
(R, 2)[0] => [[-4, 4], [-4, 4]]
(R, 2)[0] => [[-3, 4], [-4, 4]]
(D, 1)[0] => [[-3, 3], [-4, 4]]
(U, 1)[0] => [[-3, 4], [-4, 4]]
(R, 2)[0] => [[-2, 4], [-3, 4]]
(R, 2)[0] => [[-1, 4], [-2, 4]]
(U, 2)[0] => [[-1, 5], [-2, 4]]
(U, 2)[0] => [[-1, 6], [-1, 5]]
(D, 2)[0] => [[-1, 5], [-1, 5]]
(D, 2)[0] => [[-1, 4], [-1, 5]]
(R, 2)[0] => [[0, 4], [-1, 5]]
(R, 2)[0] => [[1, 4], [0, 4]]
(L, 1)[0] => [[0, 4], [0, 4]]
(R, 1)[0] => [[1, 4], [0, 4]]
(U, 3)[0] => [[1, 5], [0, 4]]
(U, 3)[0] => [[1, 6], [1, 5]]
(U, 3)[0] => [[1, 7], [1, 6]]
(L, 3)[0] => [[0, 7], [1, 6]]
(L, 3)[0] => [[-1, 7], [0, 7]]
(L, 3)[0] => [[-2, 7], [-1, 7]]
(U, 2)[0] => [[-2, 8], [-1, 7]]
(U, 2)[0] => [[-2, 9], [-2, 8]]
(L, 1)[0] => [[-3, 9], [-2, 8]]
(D, 2)[0] => [[-3, 8], [-2, 8]]
(D, 2)[0] => [[-3, 7], [-2, 8]]
(U, 3)[0] => [[-3, 8], [-2, 8]]
(U, 3)[0] => [[-3, 9], [-2, 8]]
(U, 3)[0] => [[-3, 10], [-3, 9]]
(L, 1)[0] => [[-4, 10], [-3, 9]]
(R, 1)[0] => [[-3, 10], [-3, 9]]
(D, 2)[0] => [[-3, 9], [-3, 9]]
(D, 2)[0] => [[-3, 8], [-3, 9]]
(L, 1)[0] => [[-4, 8], [-3, 9]]
(D, 3)[0] => [[-4, 7], [-4, 8]]
(D, 3)[0] => [[-4, 6], [-4, 7]]
(D, 3)[0] => [[-4, 5], [-4, 6]]
(L, 3)[0] => [[-5, 5], [-4, 6]]
(L, 3)[0] => [[-6, 5], [-5, 5]]
(L, 3)[0] => [[-7, 5], [-6, 5]]
(U, 2)[0] => [[-7, 6], [-6, 5]]
(U, 2)[0] => [[-7, 7], [-7, 6]]
(L, 1)[0] => [[-8, 7], [-7, 6]]
(D, 3)[0] => [[-8, 6], [-7, 6]]
(D, 3)[0] => [[-8, 5], [-7, 6]]
(D, 3)[0] => [[-8, 4], [-8, 5]]
(R, 1)[0] => [[-7, 4], [-8, 5]]
(D, 2)[0] => [[-7, 3], [-7, 4]]
(D, 2)[0] => [[-7, 2], [-7, 3]]
(U, 1)[0] => [[-7, 3], [-7, 3]]
(R, 1)[0] => [[-6, 3], [-7, 3]]
(U, 2)[0] => [[-6, 4], [-7, 3]]
(U, 2)[0] => [[-6, 5], [-6, 4]]
(R, 1)[0] => [[-5, 5], [-6, 4]]
(L, 3)[0] => [[-6, 5], [-6, 4]]
(L, 3)[0] => [[-7, 5], [-6, 4]]
(L, 3)[0] => [[-8, 5], [-7, 5]]
(U, 3)[0] => [[-8, 6], [-7, 5]]
(U, 3)[0] => [[-8, 7], [-8, 6]]
(U, 3)[0] => [[-8, 8], [-8, 7]]
(D, 1)[0] => [[-8, 7], [-8, 7]]
(L, 3)[0] => [[-9, 7], [-8, 7]]
(L, 3)[0] => [[-10, 7], [-9, 7]]
(L, 3)[0] => [[-11, 7], [-10, 7]]
(D, 1)[0] => [[-11, 6], [-10, 7]]
(U, 1)[0] => [[-11, 7], [-10, 7]]
(D, 3)[0] => [[-11, 6], [-10, 7]]
(D, 3)[0] => [[-11, 5], [-11, 6]]
(D, 3)[0] => [[-11, 4], [-11, 5]]
(L, 3)[0] => [[-12, 4], [-11, 5]]
(L, 3)[0] => [[-13, 4], [-12, 4]]
(L, 3)[0] => [[-14, 4], [-13, 4]]
(U, 2)[0] => [[-14, 5], [-13, 4]]
(U, 2)[0] => [[-14, 6], [-14, 5]]
(D, 3)[0] => [[-14, 5], [-14, 5]]
(D, 3)[0] => [[-14, 4], [-14, 5]]
(D, 3)[0] => [[-14, 3], [-14, 4]]
(R, 3)[0] => [[-13, 3], [-14, 4]]
(R, 3)[0] => [[-12, 3], [-13, 3]]
(R, 3)[0] => [[-11, 3], [-12, 3]]
(D, 1)[0] => [[-11, 2], [-12, 3]]
(R, 3)[0] => [[-10, 2], [-11, 2]]
(R, 3)[0] => [[-9, 2], [-10, 2]]
(R, 3)[0] => [[-8, 2], [-9, 2]]
(D, 3)[0] => [[-8, 1], [-9, 2]]
(D, 3)[0] => [[-8, 0], [-8, 1]]
(D, 3)[0] => [[-8, -1], [-8, 0]]
(R, 1)[0] => [[-7, -1], [-8, 0]]
(U, 1)[0] => [[-7, 0], [-8, 0]]
(D, 2)[0] => [[-7, -1], [-8, 0]]
(D, 2)[0] => [[-7, -2], [-7, -1]]
(R, 3)[0] => [[-6, -2], [-7, -1]]
(R, 3)[0] => [[-5, -2], [-6, -2]]
(R, 3)[0] => [[-4, -2], [-5, -2]]
(L, 1)[0] => [[-5, -2], [-5, -2]]
(U, 2)[0] => [[-5, -1], [-5, -2]]
(U, 2)[0] => [[-5, 0], [-5, -1]]
(L, 1)[0] => [[-6, 0], [-5, -1]]
(U, 3)[0] => [[-6, 1], [-6, 0]]
(U, 3)[0] => [[-6, 2], [-6, 1]]
(U, 3)[0] => [[-6, 3], [-6, 2]]
(R, 2)[0] => [[-5, 3], [-6, 2]]
(R, 2)[0] => [[-4, 3], [-5, 3]]
(L, 1)[0] => [[-5, 3], [-5, 3]]
(D, 2)[0] => [[-5, 2], [-5, 3]]
(D, 2)[0] => [[-5, 1], [-5, 2]]
(U, 3)[0] => [[-5, 2], [-5, 2]]
(U, 3)[0] => [[-5, 3], [-5, 2]]
(U, 3)[0] => [[-5, 4], [-5, 3]]
(D, 2)[0] => [[-5, 3], [-5, 3]]
(D, 2)[0] => [[-5, 2], [-5, 3]]
(R, 3)[0] => [[-4, 2], [-5, 3]]
(R, 3)[0] => [[-3, 2], [-4, 2]]
(R, 3)[0] => [[-2, 2], [-3, 2]]
(L, 1)[0] => [[-3, 2], [-3, 2]]
(R, 3)[0] => [[-2, 2], [-3, 2]]
(R, 3)[0] => [[-1, 2], [-2, 2]]
(R, 3)[0] => [[0, 2], [-1, 2]]
(L, 1)[0] => [[-1, 2], [-1, 2]]
(R, 1)[0] => [[0, 2], [-1, 2]]
(D, 2)[0] => [[0, 1], [-1, 2]]
(D, 2)[0] => [[0, 0], [0, 1]]
(U, 2)[0] => [[0, 1], [0, 1]]
(U, 2)[0] => [[0, 2], [0, 1]]
(D, 3)[0] => [[0, 1], [0, 1]]
(D, 3)[0] => [[0, 0], [0, 1]]
(D, 3)[0] => [[0, -1], [0, 0]]
(U, 3)[0] => [[0, 0], [0, 0]]
(U, 3)[0] => [[0, 1], [0, 0]]
(U, 3)[0] => [[0, 2], [0, 1]]
(L, 1)[0] => [[-1, 2], [0, 1]]
(R, 3)[0] => [[0, 2], [0, 1]]
(R, 3)[0] => [[1, 2], [0, 1]]
(R, 3)[0] => [[2, 2], [1, 2]]
(D, 1)[0] => [[2, 1], [1, 2]]
(R, 1)[0] => [[3, 1], [2, 1]]
(D, 3)[0] => [[3, 0], [2, 1]]
(D, 3)[0] => [[3, -1], [3, 0]]
(D, 3)[0] => [[3, -2], [3, -1]]
(L, 1)[0] => [[2, -2], [3, -1]]
(U, 3)[0] => [[2, -1], [3, -1]]
(U, 3)[0] => [[2, 0], [3, -1]]
(U, 3)[0] => [[2, 1], [2, 0]]
(R, 2)[0] => [[3, 1], [2, 0]]
(R, 2)[0] => [[4, 1], [3, 1]]
(D, 3)[0] => [[4, 0], [3, 1]]
(D, 3)[0] => [[4, -1], [4, 0]]
(D, 3)[0] => [[4, -2], [4, -1]]
(R, 3)[0] => [[5, -2], [4, -1]]
(R, 3)[0] => [[6, -2], [5, -2]]
(R, 3)[0] => [[7, -2], [6, -2]]
(D, 2)[0] => [[7, -3], [6, -2]]
(D, 2)[0] => [[7, -4], [7, -3]]
(L, 1)[0] => [[6, -4], [7, -3]]
(U, 2)[0] => [[6, -3], [7, -3]]
(U, 2)[0] => [[6, -2], [7, -3]]
(D, 3)[0] => [[6, -3], [7, -3]]
(D, 3)[0] => [[6, -4], [7, -3]]
(D, 3)[0] => [[6, -5], [6, -4]]
(R, 3)[0] => [[7, -5], [6, -4]]
(R, 3)[0] => [[8, -5], [7, -5]]
(R, 3)[0] => [[9, -5], [8, -5]]
(D, 1)[0] => [[9, -6], [8, -5]]
(L, 3)[0] => [[8, -6], [8, -5]]
(L, 3)[0] => [[7, -6], [8, -5]]
(L, 3)[0] => [[6, -6], [7, -6]]
(U, 3)[0] => [[6, -5], [7, -6]]
(U, 3)[0] => [[6, -4], [6, -5]]
(U, 3)[0] => [[6, -3], [6, -4]]
(L, 2)[0] => [[5, -3], [6, -4]]
(L, 2)[0] => [[4, -3], [5, -3]]
(R, 1)[0] => [[5, -3], [5, -3]]
(L, 2)[0] => [[4, -3], [5, -3]]
(L, 2)[0] => [[3, -3], [4, -3]]
(D, 1)[0] => [[3, -4], [4, -3]]
(L, 3)[0] => [[2, -4], [3, -4]]
(L, 3)[0] => [[1, -4], [2, -4]]
(L, 3)[0] => [[0, -4], [1, -4]]
(R, 2)[0] => [[1, -4], [1, -4]]
(R, 2)[0] => [[2, -4], [1, -4]]
(U, 1)[0] => [[2, -3], [1, -4]]
(R, 3)[0] => [[3, -3], [2, -3]]
(R, 3)[0] => [[4, -3], [3, -3]]
(R, 3)[0] => [[5, -3], [4, -3]]
(D, 1)[0] => [[5, -4], [4, -3]]
(L, 1)[0] => [[4, -4], [4, -3]]
(R, 2)[0] => [[5, -4], [4, -3]]
(R, 2)[0] => [[6, -4], [5, -4]]
(D, 3)[0] => [[6, -5], [5, -4]]
(D, 3)[0] => [[6, -6], [6, -5]]
(D, 3)[0] => [[6, -7], [6, -6]]
(U, 1)[0] => [[6, -6], [6, -6]]
(R, 2)[0] => [[7, -6], [6, -6]]
(R, 2)[0] => [[8, -6], [7, -6]]
(L, 1)[0] => [[7, -6], [7, -6]]
(D, 2)[0] => [[7, -7], [7, -6]]
(D, 2)[0] => [[7, -8], [7, -7]]
(R, 2)[0] => [[8, -8], [7, -7]]
(R, 2)[0] => [[9, -8], [8, -8]]
(U, 2)[0] => [[9, -7], [8, -8]]
(U, 2)[0] => [[9, -6], [9, -7]]
(L, 2)[0] => [[8, -6], [9, -7]]
(L, 2)[0] => [[7, -6], [8, -6]]
(R, 2)[0] => [[8, -6], [8, -6]]
(R, 2)[0] => [[9, -6], [8, -6]]
(D, 3)[0] => [[9, -7], [8, -6]]
(D, 3)[0] => [[9, -8], [9, -7]]
(D, 3)[0] => [[9, -9], [9, -8]]
(R, 1)[0] => [[10, -9], [9, -8]]
(U, 1)[0] => [[10, -8], [9, -8]]
(R, 2)[0] => [[11, -8], [10, -8]]
(R, 2)[0] => [[12, -8], [11, -8]]
(U, 1)[0] => [[12, -7], [11, -8]]
(D, 2)[0] => [[12, -8], [11, -8]]
(D, 2)[0] => [[12, -9], [11, -8]]
(L, 1)[0] => [[11, -9], [11, -8]]
(R, 3)[0] => [[12, -9], [11, -8]]
(R, 3)[0] => [[13, -9], [12, -9]]
(R, 3)[0] => [[14, -9], [13, -9]]
(D, 3)[0] => [[14, -10], [13, -9]]
(D, 3)[0] => [[14, -11], [14, -10]]
(D, 3)[0] => [[14, -12], [14, -11]]
(L, 2)[0] => [[13, -12], [14, -11]]
(L, 2)[0] => [[12, -12], [13, -12]]
(D, 1)[0] => [[12, -13], [13, -12]]
(R, 3)[0] => [[13, -13], [13, -12]]
(R, 3)[0] => [[14, -13], [13, -12]]
(R, 3)[0] => [[15, -13], [14, -13]]
(D, 2)[0] => [[15, -14], [14, -13]]
(D, 2)[0] => [[15, -15], [15, -14]]
(U, 4)[0] => [[15, -14], [15, -14]]
(U, 4)[0] => [[15, -13], [15, -14]]
(U, 4)[0] => [[15, -12], [15, -13]]
(U, 4)[0] => [[15, -11], [15, -12]]
(R, 3)[0] => [[16, -11], [15, -12]]
(R, 3)[0] => [[17, -11], [16, -11]]
(R, 3)[0] => [[18, -11], [17, -11]]
(D, 3)[0] => [[18, -12], [17, -11]]
(D, 3)[0] => [[18, -13], [18, -12]]
(D, 3)[0] => [[18, -14], [18, -13]]
(U, 3)[0] => [[18, -13], [18, -13]]
(U, 3)[0] => [[18, -12], [18, -13]]
(U, 3)[0] => [[18, -11], [18, -12]]
(R, 3)[0] => [[19, -11], [18, -12]]
(R, 3)[0] => [[20, -11], [19, -11]]
(R, 3)[0] => [[21, -11], [20, -11]]
(U, 2)[0] => [[21, -10], [20, -11]]
(U, 2)[0] => [[21, -9], [21, -10]]
(R, 2)[0] => [[22, -9], [21, -10]]
(R, 2)[0] => [[23, -9], [22, -9]]
(U, 4)[0] => [[23, -8], [22, -9]]
(U, 4)[0] => [[23, -7], [23, -8]]
(U, 4)[0] => [[23, -6], [23, -7]]
(U, 4)[0] => [[23, -5], [23, -6]]
(R, 3)[0] => [[24, -5], [23, -6]]
(R, 3)[0] => [[25, -5], [24, -5]]
(R, 3)[0] => [[26, -5], [25, -5]]
(D, 1)[0] => [[26, -6], [25, -5]]
(L, 1)[0] => [[25, -6], [25, -5]]
(U, 3)[0] => [[25, -5], [25, -5]]
(U, 3)[0] => [[25, -4], [25, -5]]
(U, 3)[0] => [[25, -3], [25, -4]]
(D, 2)[0] => [[25, -4], [25, -4]]
(D, 2)[0] => [[25, -5], [25, -4]]
(L, 4)[0] => [[24, -5], [25, -4]]
(L, 4)[0] => [[23, -5], [24, -5]]
(L, 4)[0] => [[22, -5], [23, -5]]
(L, 4)[0] => [[21, -5], [22, -5]]
(D, 2)[0] => [[21, -6], [22, -5]]
(D, 2)[0] => [[21, -7], [21, -6]]
(R, 2)[0] => [[22, -7], [21, -6]]
(R, 2)[0] => [[23, -7], [22, -7]]
(L, 2)[0] => [[22, -7], [22, -7]]
(L, 2)[0] => [[21, -7], [22, -7]]
(D, 2)[0] => [[21, -8], [22, -7]]
(D, 2)[0] => [[21, -9], [21, -8]]
(U, 1)[0] => [[21, -8], [21, -8]]
(R, 2)[0] => [[22, -8], [21, -8]]
(R, 2)[0] => [[23, -8], [22, -8]]
(D, 3)[0] => [[23, -9], [22, -8]]
(D, 3)[0] => [[23, -10], [23, -9]]
(D, 3)[0] => [[23, -11], [23, -10]]
(U, 3)[0] => [[23, -10], [23, -10]]
(U, 3)[0] => [[23, -9], [23, -10]]
(U, 3)[0] => [[23, -8], [23, -9]]
(R, 1)[0] => [[24, -8], [23, -9]]
(U, 4)[0] => [[24, -7], [24, -8]]
(U, 4)[0] => [[24, -6], [24, -7]]
(U, 4)[0] => [[24, -5], [24, -6]]
(U, 4)[0] => [[24, -4], [24, -5]]
(D, 1)[0] => [[24, -5], [24, -5]]
(L, 2)[0] => [[23, -5], [24, -5]]
(L, 2)[0] => [[22, -5], [23, -5]]
(R, 1)[0] => [[23, -5], [23, -5]]
(U, 2)[0] => [[23, -4], [23, -5]]
(U, 2)[0] => [[23, -3], [23, -4]]
(L, 4)[0] => [[22, -3], [23, -4]]
(L, 4)[0] => [[21, -3], [22, -3]]
(L, 4)[0] => [[20, -3], [21, -3]]
(L, 4)[0] => [[19, -3], [20, -3]]
(D, 4)[0] => [[19, -4], [20, -3]]
(D, 4)[0] => [[19, -5], [19, -4]]
(D, 4)[0] => [[19, -6], [19, -5]]
(D, 4)[0] => [[19, -7], [19, -6]]
(R, 3)[0] => [[20, -7], [19, -6]]
(R, 3)[0] => [[21, -7], [20, -7]]
(R, 3)[0] => [[22, -7], [21, -7]]
(U, 1)[0] => [[22, -6], [21, -7]]
(D, 3)[0] => [[22, -7], [21, -7]]
(D, 3)[0] => [[22, -8], [21, -7]]
(D, 3)[0] => [[22, -9], [22, -8]]
(R, 2)[0] => [[23, -9], [22, -8]]
(R, 2)[0] => [[24, -9], [23, -9]]
(L, 2)[0] => [[23, -9], [23, -9]]
(L, 2)[0] => [[22, -9], [23, -9]]
(U, 2)[0] => [[22, -8], [23, -9]]
(U, 2)[0] => [[22, -7], [22, -8]]
(D, 1)[0] => [[22, -8], [22, -8]]
(R, 1)[0] => [[23, -8], [22, -8]]
(U, 1)[0] => [[23, -7], [22, -8]]
(D, 2)[0] => [[23, -8], [22, -8]]
(D, 2)[0] => [[23, -9], [22, -8]]
(L, 2)[0] => [[22, -9], [22, -8]]
(L, 2)[0] => [[21, -9], [22, -8]]
(U, 2)[0] => [[21, -8], [22, -8]]
(U, 2)[0] => [[21, -7], [22, -8]]
(R, 4)[0] => [[22, -7], [22, -8]]
(R, 4)[0] => [[23, -7], [22, -8]]
(R, 4)[0] => [[24, -7], [23, -7]]
(R, 4)[0] => [[25, -7], [24, -7]]
(U, 2)[0] => [[25, -6], [24, -7]]
(U, 2)[0] => [[25, -5], [25, -6]]
(D, 4)[0] => [[25, -6], [25, -6]]
(D, 4)[0] => [[25, -7], [25, -6]]
(D, 4)[0] => [[25, -8], [25, -7]]
(D, 4)[0] => [[25, -9], [25, -8]]
(U, 2)[0] => [[25, -8], [25, -8]]
(U, 2)[0] => [[25, -7], [25, -8]]
(D, 2)[0] => [[25, -8], [25, -8]]
(D, 2)[0] => [[25, -9], [25, -8]]
(U, 3)[0] => [[25, -8], [25, -8]]
(U, 3)[0] => [[25, -7], [25, -8]]
(U, 3)[0] => [[25, -6], [25, -7]]
(L, 2)[0] => [[24, -6], [25, -7]]
(L, 2)[0] => [[23, -6], [24, -6]]
(D, 1)[0] => [[23, -7], [24, -6]]
(L, 1)[0] => [[22, -7], [23, -7]]
(D, 4)[0] => [[22, -8], [23, -7]]
(D, 4)[0] => [[22, -9], [22, -8]]
(D, 4)[0] => [[22, -10], [22, -9]]
(D, 4)[0] => [[22, -11], [22, -10]]
(L, 3)[0] => [[21, -11], [22, -10]]
(L, 3)[0] => [[20, -11], [21, -11]]
(L, 3)[0] => [[19, -11], [20, -11]]
(D, 2)[0] => [[19, -12], [20, -11]]
(D, 2)[0] => [[19, -13], [19, -12]]
(R, 4)[0] => [[20, -13], [19, -12]]
(R, 4)[0] => [[21, -13], [20, -13]]
(R, 4)[0] => [[22, -13], [21, -13]]
(R, 4)[0] => [[23, -13], [22, -13]]
(U, 1)[0] => [[23, -12], [22, -13]]
(D, 4)[0] => [[23, -13], [22, -13]]
(D, 4)[0] => [[23, -14], [22, -13]]
(D, 4)[0] => [[23, -15], [23, -14]]
(D, 4)[0] => [[23, -16], [23, -15]]
(U, 3)[0] => [[23, -15], [23, -15]]
(U, 3)[0] => [[23, -14], [23, -15]]
(U, 3)[0] => [[23, -13], [23, -14]]
(R, 3)[0] => [[24, -13], [23, -14]]
(R, 3)[0] => [[25, -13], [24, -13]]
(R, 3)[0] => [[26, -13], [25, -13]]
(L, 1)[0] => [[25, -13], [25, -13]]
(D, 1)[0] => [[25, -14], [25, -13]]
(L, 4)[0] => [[24, -14], [25, -13]]
(L, 4)[0] => [[23, -14], [24, -14]]
(L, 4)[0] => [[22, -14], [23, -14]]
(L, 4)[0] => [[21, -14], [22, -14]]
(R, 4)[0] => [[22, -14], [22, -14]]
(R, 4)[0] => [[23, -14], [22, -14]]
(R, 4)[0] => [[24, -14], [23, -14]]
(R, 4)[0] => [[25, -14], [24, -14]]
(U, 1)[0] => [[25, -13], [24, -14]]
(D, 4)[0] => [[25, -14], [24, -14]]
(D, 4)[0] => [[25, -15], [24, -14]]
(D, 4)[0] => [[25, -16], [25, -15]]
(D, 4)[0] => [[25, -17], [25, -16]]
(L, 1)[0] => [[24, -17], [25, -16]]
(R, 3)[0] => [[25, -17], [25, -16]]
(R, 3)[0] => [[26, -17], [25, -16]]
(R, 3)[0] => [[27, -17], [26, -17]]
(L, 1)[0] => [[26, -17], [26, -17]]
